2025-06-24 20:22:28 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:22:29 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:22:30 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:22:31 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:22:32 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:22:33 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:22:34 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:22:35 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:22:36 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:22:37 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:22:38 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:22:39 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:22:40 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:22:41 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:22:43 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:22:44 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:22:45 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:22:46 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:22:47 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:22:48 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:22:49 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:22:50 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:22:51 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:22:52 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:22:53 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:22:54 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:22:55 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:22:56 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:22:57 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:22:58 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:22:59 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:23:00 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:23:01 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:23:02 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:23:03 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:23:04 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:23:05 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
